,DM
1119,13.8
1120,15.22
1121,17.16
1122,15.49
1123,16.21
1124,15.02
1125,16.61
1126,15.03
1127,16.24
1128,18.7
1129,16.58
1130,19.16
1131,16.43
1132,14.22
1133,16.06
1134,15.24
1135,16.93
1136,18.69
1137,18.75
1138,17.45
1139,9.25
1140,14.83
1141,8.03
1142,15.07
1143,18.86
1144,15.92
1145,7.85
1146,16.04
1147,7.51
1148,7.96
1149,16.26
1150,14.01
1151,14.74
1152,17.24
1153,15.03
1154,20.2
1155,16.27
1156,18.59
1157,15.29
1158,15.61
1159,18.76
1160,15.05
1161,15.92
1162,21.08
1163,16.9
1164,16.27
1165,15.88
1166,18.55
1167,16.09
1168,16.9
1169,15.19
1170,17.64
1171,8.16
1172,19.7
1173,14.81
1174,14.2
1175,15.79
1176,10.19
1177,7.67
1178,19.07
1179,18.17
1180,9.5
1181,9.21
1182,14.86
1183,19.23
1184,17.09
1185,18.23
1186,18.1
1187,8.96
1188,18.66
1189,18.28
1190,19.97
1191,15.64
1192,18.09
1193,18.99
1194,14.96
1195,17.07
1196,15.86
1197,17.59
1198,15.86
1199,18.23
1200,15.57
1201,7.5
1202,17.37
1203,15.76
1204,18.04
1205,18.3
1206,14.55
1207,17.6
1208,20.41
1209,18.82
1210,15.65
1211,16.63
1212,16.5
1213,17.54
1214,14.06
1215,18.24
1216,7.48
1217,20.67
1218,16.24
1219,17.14
1220,18.24
1221,18.12
1222,18.56
1223,18.23
1224,16.06
1225,17.29
1226,18.72
1227,18.03
1228,15.82
1229,19.57
1230,17.4
1231,9.32
1232,13.47
1233,17.16
1234,19.19
1235,8.24
1236,14.53
1237,8.54
1238,16.14
1239,18.93
1240,16.02
1241,16.2
1242,7.14
1243,15.5
1244,18.11
1245,8.11
1246,16.92
1247,15.29
1248,14.62
1249,18.19
1250,14.65
1251,15.63
1252,17.5
1253,8.77
1254,13.53
1255,17.34
1256,13.83
1257,17.58
1258,9.64
1259,18.23
1260,15.35
1261,15.76
1262,15.23
1263,17.57
1264,16.09
1265,17.17
1266,17.53
1267,7.14
1268,17.19
1269,8.33
1270,18.64
1271,19.35
1272,8.33
1273,15.48
1274,14.38
1275,15.88
1276,19.05
1277,15.24
1278,18.47
1279,7.41
1280,15.49
1281,17.27
1282,17.75
1283,14.88
1284,18.65
1285,18.54
1286,18.49
1287,16.06
1288,14.95
1289,18.55
1290,8.47
1291,16.84
1292,17.37
1293,18.3
1294,16.97
1295,16.1
1296,16.6
1297,15.96
1298,14.79
1299,9.05
1300,14.29
1301,16.11
1302,17.97
1303,18.18
1304,16.78
1305,7.87
1306,7.94
1307,15.46
1308,7.91
1309,16.24
1310,15.68
1311,6.73
1312,16.09
1313,19.08
1314,7.46
1315,18.04
1316,16.74
1317,16.35
1318,16.54
1319,15.19
1320,18.16
1321,10.33
1322,8.57
1323,15.96
1324,18.39
1325,17.21
1326,17.71
1327,17.43
1328,16.44
1329,16.32
1330,15.28
1331,7.28
1332,14.2
1333,18.44
1334,15.22
1335,18.33
1336,7.55
1337,15.49
1338,14.99
1339,14.81
1340,18.22
1341,15.34
1342,15.84
1343,18.25
1344,14.69
1345,14.82
1346,15.7
1347,15.07
1348,17.68
1349,7.57
1350,15.75
1351,16.35
1352,16.16
1353,16.73
1354,9.84
1355,16.0
1356,16.76
1357,14.35
1358,16.67
1359,7.57
1360,17.02
1361,7.95
1362,18.7
1363,15.25
1364,16.52
1365,16.69
1366,9.29
1367,15.37
1368,16.03
1369,14.54
1370,15.55
1371,15.64
1372,9.56
1373,19.42
1374,19.73
1375,16.32
1376,14.12
1377,18.95
1378,15.38
1379,15.14
1380,7.39
1381,15.55
1382,14.0
1383,9.24
1384,18.42
1385,18.76
1386,17.91
1387,16.4
1388,7.45
1389,15.4
1390,6.51
1391,18.44
1392,20.03
1393,15.21
1394,10.53
1395,8.3
1396,15.3
1397,15.54
1398,17.14
1399,14.79
1400,13.09
1401,17.89
1402,15.09
1403,16.19
1404,15.17
1405,7.72
1406,14.9
1407,13.96
1408,16.47
1409,15.52
1410,18.28
1411,16.32
1412,17.7
1413,16.18
1414,15.4
1415,14.66
1416,14.77
1417,20.31
1418,16.56
1419,17.8
1420,19.43
1421,14.57
1422,15.81
1423,17.26
1424,15.58
1425,9.3
1426,17.88
1427,14.66
1428,16.37
1429,18.47
1430,7.92
1431,15.16
1432,17.46
1433,15.03
1434,14.38
1435,14.96
1436,16.72
1437,18.12
1438,17.5
1439,15.52
1440,17.1
1441,16.29
1442,16.85
1443,16.64
1444,16.16
1445,9.47
1446,18.92
1447,15.72
1448,7.17
1449,17.65
1450,7.94
1451,7.4
1452,18.87
1453,18.24
1454,16.81
1455,16.2
1456,18.18
1457,16.63
1458,20.68
1459,7.69
1460,15.82
1461,16.79
1462,9.2
1463,14.32
1464,19.39
1465,6.9
1466,19.47
1467,16.4
1468,16.1
1469,16.63
1470,18.22
1471,17.76
1472,17.88
1473,14.62
1474,18.08
1475,17.06
1476,19.65
1477,15.98
1478,16.12
1479,15.03
1480,15.45
1481,17.13
1482,14.49
1483,18.27
1484,17.07
1485,7.91
1486,14.89
1487,15.33
1488,14.4
1489,18.01
1490,17.84
1491,14.62
1492,14.88
1493,13.37
1494,16.54
1495,20.6
1496,16.98
1497,16.3
1498,14.49
1499,13.05
1500,16.05
1501,17.9
1502,18.76
1503,15.19
1504,18.35
1505,14.94
1506,16.75
1507,16.36
1508,16.67
1509,17.98
1510,16.38
1511,18.57
1512,14.18
1513,16.82
1514,17.26
1515,17.04
1516,20.18
1517,18.05
1518,18.29
1519,17.94
1520,18.37
1521,8.14
1522,15.94
1523,15.07
1524,8.37
1525,17.03
1526,15.61
1527,14.77
1528,16.95
1529,16.88
1530,16.81
1531,18.12
1532,17.5
1533,18.77
1534,14.97
1535,14.74
1536,19.54
1537,17.67
1538,18.84
1539,8.88
1540,14.71
1541,18.86
1542,16.01
1543,16.46
1544,15.91
1545,16.8
1546,16.48
1547,7.98
1548,18.31
1549,14.9
1550,18.33
1551,15.23
1552,16.39
1553,17.31
1554,16.13
1555,9.75
1556,19.65
1557,18.69
1558,17.92
1559,17.63
1560,15.87
1561,14.57
1562,10.714555
1563,16.2
1564,13.455012
1565,12.42878
1566,12.838463
1567,12.809132
1568,13.2
1569,12.457702
1570,14.5
1571,15.432661
1572,15.851213
1573,15.1
1574,15.7
1575,15.817744
1576,13.6
1577,13.709549
1578,12.060758
1579,11.935953
1580,13.274787
1581,14.2
1582,10.891505
1583,14.719401
1584,14.046591
1585,15.032907
1586,11.4672365
1587,15.9
1588,15.0
1589,13.5
1590,16.89673
1591,14.603718
1592,16.356358
1593,16.365017
1594,15.181543
1595,12.80333
1596,18.466234
1597,14.583684
1598,15.3
1599,14.407883
1600,20.49948
1601,14.127692
1602,14.1
1603,12.7
1604,14.027275
1605,17.456163
1606,14.5
1607,12.72692
1608,13.903986
1609,16.47034
1610,15.324436
1611,17.47
1612,16.332289
1613,15.414762
1614,12.780269
1615,14.2183485
1616,14.162765
1617,16.132042
1618,14.557052
1619,13.336734
1620,12.685324
1621,17.4
1622,13.858425
1623,14.785903
1624,17.076063
1625,12.550899
1626,17.6
1627,13.645149
1628,16.657436
1629,16.38
1630,18.64545
1631,16.505653
1632,17.134289
1633,12.902344
1634,12.831117
1635,14.622788
1636,15.139991
1637,15.4
1638,18.5
1639,13.449306
1640,14.066363
1641,16.173275
1642,14.092279
1643,15.8
1644,16.8
1645,15.6
1646,17.258501
1647,13.058625
1648,13.181161
1649,13.983287
1650,18.592628
1651,15.688792
1652,14.582477
1653,15.0
1654,14.4
1655,14.5
1656,14.5
1657,15.2
1658,19.15
1659,16.63868
1660,13.389849
1661,14.7
1662,15.2
1663,13.402061
1664,17.33036
1665,16.37
1666,14.609765
1667,13.566696
1668,9.914649
1669,17.662613
1670,11.228974
1671,18.16
1672,12.729576
1673,18.199142
1674,18.473492
1675,14.254062
1676,17.464684
1677,13.6
1678,17.067595
1679,17.063702
1680,13.788243
1681,16.742321
1682,15.6956005
1683,14.883721
1684,13.11315
1685,14.153269
1686,12.451591
1687,14.6
1688,16.308428
1689,14.8
1690,15.662529
1691,13.079723
1692,19.756403
1693,19.663914
1694,15.008542
1695,13.500217
1696,18.084984
1697,16.6
1698,16.18583
1699,17.595968
1700,14.588924
1701,11.369673
1702,17.44
1703,16.447369
1704,13.625343
1705,16.5
1706,14.4
1707,14.283092
1708,12.900927
1709,14.7
1710,13.207755
1711,16.88
1712,15.945632
1713,12.491325
1714,17.4
1715,17.894304
1716,15.5
1717,18.2
1718,15.163935
1719,13.752868
1720,16.640503
1721,17.3
1722,14.381233
1723,15.692251
1724,14.411843
1725,12.035812
1726,13.939535
1727,16.3
1728,15.2325735
1729,17.222723
1730,10.437549
1731,11.605288
1732,12.26132
1733,18.0
1734,16.130865
1735,21.656237
1736,14.294831
1737,15.864257
1738,14.226667
1739,14.134962
1740,16.52127
1741,13.464403
1742,15.0
1743,15.057019
1744,16.98
1745,13.980111
1746,15.650676
1747,16.2
1748,12.530324
1749,14.972217
1750,14.522502
1751,15.1
1752,13.053575
1753,13.246528
1754,16.653147
1755,14.588906
1756,17.47
1757,12.898331
1758,15.905585
1759,13.021062
1760,13.8
1761,16.1
1762,15.52802
1763,13.837517
1764,17.37
1765,16.363636
1766,13.98023
1767,13.313643
1768,14.824254
1769,15.300818
1770,16.96555
1771,13.3171425
1772,14.505992
1773,13.8
1774,17.4
1775,13.2314625
1776,18.640429
1777,13.2
1778,16.65
1779,13.495208
1780,17.857143
1781,15.666469
1782,15.1
1783,13.911704
1784,10.99388
1785,13.2
1786,13.788317
1787,15.49
1788,16.1
1789,14.538542
1790,16.363031
1791,17.105965
1792,11.299122
1793,16.31729
1794,14.7
1795,12.9
1796,11.4104
1797,14.617117
1798,9.816877
1799,16.3
1800,15.685323
1801,16.95
1802,10.21854
1803,14.296278
1804,15.7
1805,17.905243
1806,15.054135
1807,15.9344
1808,14.3
1809,16.084911
1810,12.436548
1811,16.523584
1812,12.788134
1813,15.674539
1814,17.08
1815,12.155344
1816,12.186898
1817,17.595655
1818,16.9
1819,17.84
1820,13.603726
1821,13.482816
1822,17.931034
1823,14.951936
1824,15.525114
1825,15.054906
1826,15.454756
1827,16.8
1828,12.193912
1829,15.2
1830,14.828336
1831,15.226275
1832,17.4
1833,15.1
1834,17.0
1835,14.451697
1836,15.740741
1837,16.8
1838,15.209684
1839,15.288239
1840,18.914886
1841,10.799736
1842,14.778782
1843,16.2
1844,13.7612915
1845,16.644129
1846,13.478805
1847,14.3
1848,11.955202
1849,12.54369
1850,13.7
1851,12.85367
1852,11.054521
1853,15.2
1854,16.3
1855,15.32129
1856,16.069365
1857,11.526861
1858,13.984756
1859,17.39
1860,14.4700775
1861,14.1
1862,21.136766
1863,16.28
1864,15.666667
1865,16.684282
1866,15.525746
1867,14.523311
1868,16.245306
1869,16.147516
1870,15.605366
1871,13.385403
1872,14.0
1873,15.650742
1874,18.63
1875,15.878902
1876,12.670525
1877,16.7
1878,17.085232
1879,17.34
1880,13.591664
1881,17.173805
1882,15.107121
1883,16.840485
1884,14.1486
1885,16.3
1886,16.24662
1887,13.810162
1888,13.790614
1889,16.44582
1890,15.3736315
1891,15.4
1892,14.968179
1893,13.501227
1894,13.95453
1895,15.67645
1896,14.8
1897,17.4
1898,15.247895
1899,12.709182
1900,17.0
1901,15.5
1902,16.7
1903,13.654618
1904,11.7156515
1905,13.0620985
1906,13.783403
1907,11.544904
1908,11.756823
1909,13.785428
1910,18.1
1911,17.34694
1912,15.2
1913,14.870384
1914,13.6
1915,20.082022
1916,16.864134
1917,13.745059
1918,15.638162
1919,14.933779
1920,14.5
1921,15.076336
1922,12.120738
1923,14.2
1924,15.824043
1925,14.093184
1926,14.651745
1927,10.989344
1928,14.908601
1929,13.794048
1930,14.643257
1931,15.5
1932,14.953722
1933,12.015721
1934,11.818524
1935,12.8
1936,12.5
1937,14.520461
1938,12.550531
1939,15.598027
1940,13.208962
1941,14.890017
1942,11.774292
1943,18.42
1944,16.1
1945,17.05355
1946,14.4
1947,11.930845
1948,11.064718
1949,16.586603
1950,13.739633
1951,15.123627
1952,15.7
1953,18.12
1954,11.423242
1955,12.4515505
1956,19.191597
1957,11.444653
1958,12.368323
1959,13.9
1960,9.623817
1961,14.156555
1962,13.6245985
1963,14.019105
1964,14.121178
1965,15.169156
1966,17.455917
1967,11.407605
1968,13.778205
1969,19.353214
1970,11.569388
1971,11.88212
1972,14.166928
1973,12.579035
1974,15.5
1975,14.07812
1976,14.773922
1977,17.520245
1978,12.885407
1979,14.263863
1980,14.56096
1981,13.408255
1982,14.351497
1983,16.664577
1984,15.541661
1985,16.42147
1986,15.658004
1987,14.774808
1988,12.8760805
1989,14.076961
1990,17.982077
1991,14.368194
1992,12.346939
1993,10.318089
1994,15.540113
1995,13.089517
1996,11.406274
1997,14.585476
1998,15.231078
1999,14.605025
2000,15.619263
2001,18.4
2002,13.706732
2003,16.5
2004,15.26686
2005,15.3
2006,11.265053
2007,17.19
2008,14.200332
2009,12.651745
2010,15.930421
2011,16.8
2012,13.409091
2013,13.784903
2014,15.502775
2015,12.750548
2016,14.173548
2017,14.928216
2018,12.976023
2019,13.580058
2020,14.40501
2021,13.357745
2022,13.282159
2023,15.0
2024,19.749262
2025,12.023137
2026,16.6
2027,13.53647
2028,15.22294
2029,15.132955
2030,17.3
2031,15.9
2032,11.656639
2033,14.4
2034,13.4
2035,17.494959
2036,18.649517
2037,17.338478
2038,18.89296
2039,16.569225
2040,16.109816
2041,14.363035
2042,17.996794
2043,11.541285
2044,13.1
2045,13.4
2046,13.047866
2047,13.1
2048,12.897087
2049,11.793187
2050,16.7
2051,16.5
2052,16.0
2053,15.1
2054,11.428912
2055,13.537404
2056,19.75
2057,14.2171755
2058,13.6
2059,13.953148
2060,14.204336
2061,13.385375
2062,13.095238
2063,14.348969
2064,13.294365
2065,14.491481
2066,12.651596
2067,16.3
2068,13.237577
2069,12.687238
2070,17.170582
2071,14.9
2072,15.082364
2073,13.737435
2074,17.6
2075,13.783135
2076,14.742367
2077,14.4
2078,13.379716
2079,14.4
2080,15.84027
2081,17.687767
2082,14.664706
2083,15.022976
